['Device_Name', 'Device_Type', 'Hardware_Address', 'Link_Status', 'Link_Status_Reason', 'Media_Speed_Running', 'Jumbo_Frames', 'LSO', 'LRO', 'Priority', 'LAN_State', 'Hypervisor_Send_Failures', 'Hypervisor_Receiver_Failures', 'Hypervisor_Send_Errors', 'Hypervisor_Receive_Failures', 'Transmit_Errors', 'Receive_Errors', 'Transmit_Packets_Dropped', 'Receive_Packets_Dropped', 'DMA_Underrun', 'DMA_Overrun', 'Alignment_Errors', 'No_Resource_Errors', 'Packets_Discarded_by_Adapter']
['(ent5)', 'PCIe2 2-port 10GbE SR Adapter', '00:90:fa:79:4d:b7', 'Down', 'Local fault detected', '10 Gbps Full Duplex', 'Disabled', 'Enabled', 'Enabled', '', '', '', '', '', '', '10', '20', '30', '40', '50', '60', '70', '80', '90']
['(ent11)', 'PCIe2 2-port 10GbE SR Adapter', '00:90:fa:76:c4:5b', 'Down', 'Local fault detected', '10 Gbps Full Duplex', 'Disabled', 'Enabled', 'Enabled', '', '', '', '', '', '', '0', '0', '0', '0', '0', '0', '0', '0', '0']
['(ent4)', 'PCIe2 2-port 10GbE SR Adapter', '00:90:fa:79:4d:b6', 'Up', '', '', 'Disabled', 'Enabled', 'Disabled', '2', '', '', '', '', '', '0', '0', '0', '3', '0', '0', '0', '0', '0']
['(ent10)', 'PCIe2 2-port 10GbE SR Adapter', '00:90:fa:79:4d:b6', 'Up', '', '', 'Disabled', 'Enabled', 'Disabled', '', '', '', '', '', '', '0', '0', '0', '2', '0', '0', '0', '0', '0']
['(ent13)', 'Virtual I/O Ethernet Adapter (l-lan)', '52:ae:78:81:5c:ff', '', '', '', '', '', '', '2', 'Operational', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']
['(ent12)', 'Virtual I/O Ethernet Adapter (l-lan)', '52:ae:78:81:5c:fe', '', '', '', '', '', '', '', 'Operational', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']
['(ent16)', 'Virtual I/O Ethernet Adapter (l-lan)', '52:ae:7a:a2:a2:01', 'Up', '', '1000 Mbps Full Duplex', 'Enabled', '', '', '1', 'Operational', '3113470', '3113470', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']
['(ent15)', 'Virtual I/O Ethernet Adapter (l-lan)', '52:ae:7a:a2:a2:00', '', '', '', '', '', '', '', 'Operational', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']
['(ent19)', 'Virtual I/O Ethernet Adapter (l-lan)', '52:ae:7a:a2:a2:03', 'Up', '', '1000 Mbps Full Duplex', 'Enabled', '', '', '1', 'Operational', '3117433', '3117433', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']
['(ent18)', 'Virtual I/O Ethernet Adapter (l-lan)', '52:ae:7a:a2:a2:02', '', '', '', '', '', '', '', 'Operational', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']
['(ent24)', 'Virtual I/O Ethernet Adapter (l-lan)', '52:ae:7a:a2:a2:04', '', '', '', '', '', '', '', 'Operational', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']
