['Name', 'ID', 'accstate', 'datastate', 'deviceMTM', 'datatype', 'extpool', 'exts', 'cap', 'volgrp', 'ranks', 'sam', 'perfgrp', 'resgrp', 'GUID']
['E8802_vios3', '0000', 'Online', 'Normal', '2107-900', 'FB', 'P2', '200', '', 'V65', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000000000']
['test', '0001', 'Online', 'Normal', '2107-900', 'FB', 'P0', '10', '', '-', '1', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000000001']
['E8802_vios3_', '0002', 'Online', 'Normal', '2107-900', 'FB', 'P2', '200', '', 'V65', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000000002']
['E8801_VIOS2', '0003', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V2', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000000003']
['E8802_VIOS2', '0004', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V7', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000000004']
['DR_MBOX_03_#h', '0021', 'Online', 'Normal', '2107-900', 'FB', 'P2', '400', '', 'V54', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000000021']
['DR_MBOX_04_#h', '0022', 'Online', 'Normal', '2107-900', 'FB', 'P2', '400', '', '-', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000000022']
['DRBLADE14_DC03', '003A', 'Online', 'Normal', '2107-900', 'FB', 'P2', '400', '', 'V49', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC000000000000003A']
['test', '0100', 'Online', 'Normal', '2107-900', 'FB', 'P1', '10', '', '-', '2', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000000100']
['E8801_VIOS1_', '0101', 'Online', 'Normal', '2107-900', 'FB', 'P1', '200', '', 'V66', '2', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000000101']
['T24APP6_B1', '1000', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V1', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000001000']
['DR795TSMRVG_2000', '2000', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V0', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000002000']
['E8802_T24DB2_B2', '3001', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V8', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003001']
['T24DB1_U01VG_1', '3010', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V4', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003010']
['T24DB2_U01VG_1', '3011', 'Online', 'Normal', '2107-900', 'FB', 'P2', '100', '', 'V9', '7', 'Standard', 'PG0', 'RG0', '6005076305FFD7CC0000000000003011']
